CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326,1,77183.6,3
12347.0,2,182,4310.0,0
12348.0,75,31,1797.24,1
12349.0,19,73,1757.55,0
12350.0,310,17,334.4,3
12352.0,36,85,2506.04,0
12353.0,204,4,89.0,3
12354.0,232,58,1079.4,3
12355.0,214,13,459.4,3
12356.0,23,59,2811.43,0
12357.0,33,131,6207.67,0
12358.0,2,19,1168.06,0
12359.0,58,248,6372.58,0
12360.0,52,129,2662.06,0
12361.0,287,10,189.9,3
12362.0,3,266,5226.23,0
12363.0,110,23,552.0,1
12364.0,8,85,1313.1,0
12365.0,291,22,641.38,3
12367.0,4,11,168.9,0
12370.0,51,167,3545.69,0
12371.0,45,63,1887.96,0
12372.0,72,52,1298.04,1
12373.0,311,14,364.6,3
12374.0,25,33,742.9300000000001,0
12375.0,11,17,457.5,0
12377.0,315,77,1628.12,3
12378.0,130,219,4008.62,1
12379.0,82,40,852.24,1
12380.0,22,104,2724.81,0
12381.0,5,87,1845.31,0
12383.0,185,99,1850.56,1
12384.0,29,27,585.27,0
12386.0,338,10,401.9,3
12388.0,16,100,2780.66,0
12390.0,80,32,549.84,1
12391.0,22,100,460.89,0
12393.0,72,64,1582.6000000000001,1
12394.0,64,27,1272.48,1
12395.0,19,156,3018.63,0
12397.0,36,126,2409.9,0
12398.0,46,85,1635.6599999999999,0
12399.0,119,59,1108.65,1
12401.0,303,5,84.3,3
12402.0,323,11,225.6,3
12403.0,50,5,427.7,1
12405.0,149,54,1710.39,1
12406.0,22,105,3415.3,0
12407.0,50,77,1708.1200000000001,0
12408.0,33,105,2888.55,0
12409.0,79,109,11072.67,0
12410.0,309,26,693.3299999999999,3
12412.0,75,61,1226.88,1
12413.0,67,38,758.1,1
12414.0,217,18,562.41,3
12415.0,24,714,124914.53,2
12417.0,3,192,3649.1,0
12418.0,113,34,668.58,1
12420.0,64,29,600.39,1
12421.0,16,45,807.04,0
12422.0,96,39,803.5600000000001,1
12423.0,1,125,1859.31,0
12424.0,163,30,1760.96,1
12425.0,78,36,777.2,1
12426.0,195,30,582.73,3
12427.0,22,31,825.8,0
12428.0,26,294,7956.46,0
12429.0,9,97,3750.4,0
12430.0,43,11,256.4,1
12431.0,36,235,6487.45,0
12432.0,43,108,5059.32,0
12433.0,1,420,13375.87,0
12434.0,85,50,806.14,1
12435.0,80,36,7829.89,1
12436.0,100,16,509.01,1
12437.0,2,199,4951.41,0
12438.0,14,98,2906.85,0
12441.0,367,11,173.55,3
12442.0,3,12,172.06,0
12444.0,21,176,5005.46,0
12445.0,22,4,133.4,0
12446.0,58,57,1002.3100000000001,1
12447.0,243,26,476.49,3
12448.0,44,22,449.45,1
12449.0,22,191,4067.29,0
12450.0,156,8,197.88,1
12451.0,11,354,9035.52,0
12452.0,17,22,430.57,0
12453.0,134,43,707.09,1
12454.0,56,15,3528.34,1
12455.0,73,90,2466.86,1
12456.0,44,125,3181.04,0
12457.0,66,62,2363.23,1
12458.0,71,38,947.4,1
12461.0,94,35,826.88,1
12462.0,19,62,1189.59,0
12463.0,53,83,1344.78,0
12464.0,10,29,1212.05,0
12465.0,17,47,742.1899999999999,0
12468.0,188,38,729.5400000000001,3
12471.0,2,460,19824.05,0
12472.0,32,339,6572.11,0
12473.0,29,168,3938.5499999999997,0
12474.0,17,424,7375.79,0
12475.0,54,36,723.38,1
12476.0,16,233,6816.42,0
12477.0,23,300,13219.74,0
12478.0,4,36,680.99,0
12479.0,11,31,527.2,0
12480.0,28,154,3281.63,0
12481.0,23,217,5596.32,0
12483.0,17,75,2484.98,0
12484.0,33,346,4541.72,0
12488.0,10,55,1298.66,0
12489.0,336,15,334.93,3
12490.0,5,245,5417.93,0
12491.0,39,26,460.40000000000003,0
12492.0,63,20,263.21000000000004,1
12493.0,166,22,433.74,1
12494.0,16,77,1246.1000000000001,0
12497.0,82,14,1043.1,1
12498.0,21,23,403.70000000000005,0
12500.0,23,61,4257.82,0
12501.0,337,149,2169.39,3
12502.0,96,147,3723.87,1
12504.0,18,9,482.04999999999995,0
12506.0,233,23,73.5,3
12507.0,134,21,1304.81,1
12508.0,26,69,398.27,0
12509.0,284,7,176.5,3
12510.0,143,33,982.5699999999999,1
12512.0,66,34,138.03,1
12513.0,113,35,612.29,1
12514.0,267,51,1017.68,3
12515.0,353,16,383.7,3
12516.0,78,26,1312.06,1
12517.0,28,284,2502.84,0
12518.0,1,124,2056.89,0
12519.0,64,18,340.84,1
12520.0,79,152,2634.26,1
12521.0,143,38,599.68,1
12522.0,39,12,192.72,1
12523.0,19,106,1789.77,0
12524.0,9,144,4485.72,0
12526.0,1,71,1316.66,0
12527.0,82,18,348.71000000000004,1
12528.0,9,92,1933.48,0
12530.0,60,66,1662.28,1
12531.0,15,17,125.22,0
12532.0,30,16,349.83000000000004,0
12534.0,131,63,1089.18,1
12535.0,92,34,716.35,1
12536.0,43,261,12601.830000000002,0
12538.0,29,21,363.95,0
12539.0,22,273,5568.35,0
12540.0,20,478,13400.24,0
12541.0,30,52,981.18,0
12544.0,36,19,372.7,0
12545.0,75,50,1000.39,1
12546.0,47,69,1161.5,0
12547.0,198,8,207.79999999999998,3
12548.0,166,5,95.19999999999999,1
12550.0,79,57,964.83,1
12551.0,358,10,168.0,3
12552.0,39,20,437.82,0
12553.0,8,191,3692.28,0
12556.0,50,121,603.71,0
12557.0,16,33,11990.960000000001,0
12558.0,8,11,269.96,0
12559.0,311,21,561.71,3
12560.0,5,105,2134.01,0
12561.0,303,16,238.85,3
12562.0,8,168,3781.7400000000002,0
12564.0,261,21,456.9,3
12565.0,289,9,145.92,3
12566.0,86,19,351.65,1
12567.0,23,446,9401.28,0
12569.0,2,188,4124.69,0
12571.0,40,34,519.61,0
12572.0,9,60,1020.42,0
12573.0,227,28,160.54000000000002,3
12574.0,316,11,218.45,3
12576.0,36,88,1315.83,0
12577.0,35,147,657.8,0
12578.0,21,114,2794.51,0
12579.0,78,29,440.42,1
12580.0,247,24,415.7,3
12581.0,40,15,197.71,1
12582.0,239,22,511.36,3
12583.0,3,247,7281.38,0
12584.0,4,96,2338.15,0
12585.0,234,87,2040.1,3
12586.0,17,11,196.94000000000003,0
12587.0,8,4,144.0,0
12588.0,39,10,214.89999999999998,1
12589.0,29,35,646.68,0
12590.0,211,68,9864.26,3
12591.0,317,26,452.84999999999997,3
12592.0,92,18,437.6,1
12593.0,109,21,418.09999999999997,1
12594.0,38,118,3338.2200000000003,0
12596.0,51,27,618.27,1
12597.0,19,206,3811.22,0
12598.0,10,132,3023.08,0
12599.0,29,62,1032.58,0
12600.0,29,64,2599.04,0
12601.0,190,28,577.0600000000001,3
12602.0,59,12,153.12,1
12603.0,22,2,739.1999999999999,0
12604.0,79,16,254.18,1
12607.0,60,101,1579.51,0
12609.0,78,60,1126.85,1
12610.0,23,106,2099.54,0
12611.0,52,65,1193.32,0
12612.0,74,19,704.0400000000001,1
12613.0,57,153,3344.38,0
12614.0,278,20,315.6,3
12615.0,2,105,2291.19,0
12616.0,95,32,713.3,1
12617.0,29,42,355.53,0
12618.0,22,11,177.31,0
12619.0,16,90,3641.24,0
12620.0,15,92,1339.41,0
12621.0,2,467,13689.67,0
12622.0,232,11,180.1,3
12623.0,276,18,305.1,3
12624.0,106,38,641.13,1
12625.0,212,86,2683.82,3
12626.0,23,294,6620.48,0
12627.0,11,230,4478.53,0
12628.0,4,41,786.46,0
12630.0,10,64,1270.88,0
12631.0,57,31,640.5,1
12633.0,59,101,2163.98,0
12635.0,90,101,1689.18,1
12637.0,67,390,6021.9,0
12638.0,33,39,671.69,0
12639.0,239,22,486.1,3
12640.0,24,53,1174.58,0
12641.0,115,10,185.9,1
12642.0,25,47,1013.26,0
12643.0,128,24,3344.64,1
12644.0,130,31,477.91,1
12645.0,34,73,1775.18,0
12646.0,5,45,1346.97,0
12647.0,22,121,3722.82,0
12648.0,155,21,318.05,1
12649.0,107,31,623.51,1
12650.0,3,20,314.44,0
12651.0,335,9,114.0,3
12652.0,331,48,919.98,3
12653.0,149,43,2209.85,1
12654.0,11,38,601.98,0
12656.0,17,126,4051.17,0
12657.0,11,47,1643.18,0
12658.0,19,36,686.05,0
12659.0,30,5,91.68,0
12660.0,11,13,245.1,0
12662.0,1,230,3849.78,0
12664.0,8,37,4881.88,0
12665.0,325,3,63.0,3
12667.0,58,33,620.13,1
12668.0,12,161,3807.15,0
12669.0,151,101,2744.0299999999997,1
12670.0,10,92,2996.05,0
12672.0,330,10,225.89999999999998,3
12673.0,5,42,610.52,0
12674.0,39,83,1970.6,0
12676.0,25,45,1331.39,0
12678.0,42,165,17628.46,0
12679.0,59,48,1113.02,1
12680.0,1,52,862.81,0
12681.0,15,638,13787.54,0
12682.0,4,525,12288.22,0
12683.0,4,344,8476.57,0
12684.0,8,105,2283.63,0
12685.0,28,157,2863.08,0
12686.0,372,7,89.14,3
12688.0,114,171,4873.8099999999995,1
12689.0,26,72,1247.61,0
12690.0,206,16,389.01,3
12691.0,28,32,1035.8,0
12693.0,127,39,855.91,1
12694.0,70,37,869.67,1
12695.0,7,27,582.1,0
12697.0,29,41,957.59,0
12700.0,8,268,4939.99,0
12701.0,80,53,797.71,1
12702.0,20,12,219.0,0
12703.0,71,21,283.55,1
12704.0,7,88,2340.84,0
12705.0,15,334,6868.29,0
12707.0,292,33,603.42,3
12708.0,30,157,2712.91,0
12709.0,15,208,9736.52,0
12710.0,97,77,1149.02,1
12712.0,29,133,4396.13,0
12713.0,1,38,848.55,0
12714.0,9,259,4708.86,0
12715.0,106,21,353.86,1
12716.0,4,69,1053.49,0
12717.0,151,55,1030.98,1
12718.0,71,19,238.25,1
12719.0,5,39,644.95,0
12720.0,3,354,5781.73,0
12721.0,32,161,2656.13,0
12722.0,85,53,997.63,1
12723.0,4,69,725.07,0
12724.0,5,53,1031.41,0
12725.0,371,24,427.8,3
12726.0,28,124,2609.1,0
12727.0,11,139,3980.7,0
12728.0,71,46,836.33,1
12729.0,114,26,453.01,1
12731.0,24,274,18895.91,0
12732.0,180,12,236.26000000000002,1
12733.0,234,22,383.95,3
12734.0,353,4,110.39999999999999,3
12735.0,315,43,779.5699999999999,3
12736.0,333,4,234.0,3
12738.0,372,11,155.35,3
